account_id,Sum of awg_engagement_rate,Sum of comment_engagement_rate,create_time,Sum of followers,Sum of following,is_ad_virtual,is_verified,like_count,Sum of like_engagement_rate,Sum of likes,open_favorite,top_videos,timestamp,Sum of videos_count
"                                     LOVE🤍🔥""",0.1304686698800123,,https://www.tiktok.com/@7ovlix,15100,53,null,,null,,,3,,,
"                  ♫̠ َ ‹ #يـَرعبهّـم ﮔۈنــِك ~مـُختلفـ̮ـۿﮧ~""",0.13228281152809454,,https://www.tiktok.com/@dylwpj5bpzka,1784,35,null,,null,,,null,,,
"             ⬅️ilove-------allha➡️""",0.047672672672672674,,https://www.tiktok.com/@hkdetboy4,136,18,null,,null,,,1,,,
"        INDY📍""",0.005498721227621483,,https://www.tiktok.com/@l3yyah,108900,1,null,,null,,,1,,,
"        🙊🙉🙈""",0.21121495327102804,,https://www.tiktok.com/@zain_xo_17,1883,4,null,,null,,,null,,,
"       🇱🇦สาวลาว🇱🇦""",0.20461222091656875,,https://www.tiktok.com/@dyhn28g7ln8n,1588,8,null,,null,,,null,,,
"      https://  bedr.50""",0.013628899835796387,,https://www.tiktok.com/@bedoo.50,222,155,null,,null,,,null,,,
"      Лучшие голы и мини-обзоры каждого тура⚽️""",0.7669642857142858,,https://www.tiktok.com/@rplbestmoments,2179,14,null,,null,,,null,,,
"     @giorgiaiozzelli""",1.0228139618567829,,https://www.tiktok.com/@iozzellis,28600,43,null,,null,,,null,,,
"     ᯾❀ˢᵒᶠᵗ❀᯾""",0.18848167539267016,,https://www.tiktok.com/@animation...naty,108,3,null,,null,,,3,,,
"     ICÓ/ CE 🌵""",0.14659242424242425,,https://www.tiktok.com/@_isah23,1200000,220,null,,null,,,null,,,
"     👍""",0.13894324853228962,,https://www.tiktok.com/@user298686876,142,14,null,,null,,,null,,,
"    Hype me uuuupppp!""",0.014679385267620563,,https://www.tiktok.com/@dezirethasinger,46500,461,null,,null,,,null,,,
"   • نحن لا نتعلم بالنصيحة نتعلم بالوجع ♡""",0.007776838546069315,,https://www.tiktok.com/@x1.b2,304100,589,null,,null,,,null,,,
"   ai fl tôi fl lại""",0.024826216484607748,,https://www.tiktok.com/@id3965550350f,500,20,null,,null,,,null,,,
"   H.B.M OFFICIAL彡""",0.021480954465849387,,https://www.tiktok.com/@nases.kikiso,2747,139,null,,null,,,3,,,
"  🎥 CINEMATOGRAPHER 🎬""",0.002086424853342147,,https://www.tiktok.com/@dheersharma1224,2200000,731,null,,null,,,null,,,
"  🗿🌚""",0.02736013986013986,,https://www.tiktok.com/@r4t466,319,11,null,,null,,,null,,,
"  🙏God blessed 😇""",0.005267971465154564,,https://www.tiktok.com/@quenny160,3098,403,null,,null,,,null,,,
" 【爆益情報】""",0.033707865168539325,,https://www.tiktok.com/@ek0_jwmttasu,6,1,null,,null,,,1,,,
